rank,prev_rank,rider,team,points,manager
142,144,ZAMBANINI Edoardo,Bahrain - Victorious,240,
143,679,DEWULF Stan,Decathlon CMA CGM Team,240,
144,284,BISIAUX Léo,Decathlon CMA CGM Team,240,Gemini's Hipsters
145,341,LOOCKX Lander,Unibet Rose Rockets,239,
146,880,PESENTI Thomas,Team Polti VisitMalta,238,
147,132,LAURANCE Axel,Netcompany INEOS,237,
148,209,GUERIN Alexis,Anicolor / Campicarn,234,
149,319,CHARMIG Anthon,Uno-X Mobility,233,
150,561,VANSEVENANT Mauri,Soudal Quick-Step,231,
151,203,FAGÚNDEZ Eric Antonio,Burgos Burpellet BH,229,
152,361,CEPEDA Jefferson Alveiro,Movistar Team,228,
153,105,KUSS Sepp,Team Visma | Lease a Bike,228,
154,37,JEANNIÈRE Emilien,TotalEnergies,226,Dave
155,94,SHEFFIELD Magnus,Netcompany INEOS,226,
156,526,PERICAS Adrià,UAE Team Emirates - XRG,226,
157,590,SHMIDT Artem,Netcompany INEOS,226,
158,439,HUENS Axel,Groupama - FDJ United,225,
159,92,DELETTRE Alexandre,TotalEnergies,225,
160,0,POZZOVIVO Domenico,Solution Tech NIPPO Rali,225,
161,246,VOISARD Yannis,Tudor Pro Cycling Team,224,
162,85,DEL GROSSO Tibor,Alpecin - Premier Tech,224,Campbell
163,223,RODRÍGUEZ Carlos,Netcompany INEOS,223,
164,623,PESCADOR Diego,Movistar Team,222,
165,119,CANAL Carlos,Movistar Team,222,
166,135,PENHOËT Paul,Groupama - FDJ United,221,
167,263,COBO Iván,Equipo Kern Pharma,219,
168,204,HIGUITA Sergio,XDS Astana Team,217,
169,619,CRABBE Tom,Team Flanders - Baloise,216,
170,202,COSTIOU Ewen,Groupama - FDJ United,216,
171,82,MARTIN Guillaume,Groupama - FDJ United,215,
172,128,LONARDI Giovanni,Team Polti VisitMalta,215,
173,91,ABRAHAMSEN Jonas,Uno-X Mobility,215,Gemini's Hipsters
174,409,CRESCIOLI Ludovico,Team Polti VisitMalta,214,
175,502,IZQUIERDO Clément,Cofidis,214,
176,537,WALSCHEID Max,Lidl - Trek,213,
177,548,GUALDI Simone,Lotto Intermarché,212,
178,313,THIJSSEN Gerben,Alpecin - Premier Tech,212,
179,116,AULAR Orluis,Movistar Team,212,
180,181,VAN EETVELT Lennert,Lotto Intermarché,209,
181,867,BETTLES Carter,Roojai Insurance Winspace,208,
182,398,RACCAGNI NOVIERO Andrea,Soudal Quick-Step,206,
183,492,TESSON Jason,TotalEnergies,205,
184,646,GUDMESTAD Tord,Decathlon CMA CGM Team,204,
185,1063,BURNETT Josh,Burgos Burpellet BH,204,
186,545,MARIAULT Axel,CIC Pro Cycling Academy,203,
187,532,GAVIRIA Fernando,Caja Rural - Seguros RGA,203,
188,93,LECERF Junior,Soudal Quick-Step,201,
189,108,TEUNISSEN Mike,XDS Astana Team,199,
190,9,ONLEY Oscar,Netcompany INEOS,199,Cameron
191,48,FORTUNATO Lorenzo,XDS Astana Team,199,Nick
192,162,HOFSTETTER Hugo,NSN Cycling Team,196,
193,156,BALLERINI Davide,XDS Astana Team,196,
194,388,MARCELLUSI Martin,Bardiani CSF 7 Saber,196,
195,253,FIORELLI Filippo,Team Visma | Lease a Bike,193,
196,283,MOLENAAR Alex,Caja Rural - Seguros RGA,193,
197,413,BRAZ AFONSO Clément,Groupama - FDJ United,193,
198,983,VAN KERCKHOVE Matisse,Team Visma | Lease a Bike Development,191,
199,340,BOGUSŁAWSKI Marceli,ATT Investments,190,
200,488,POLITT Nils,UAE Team Emirates - XRG,189,
201,104,KULSET Johannes,Uno-X Mobility,189,
202,139,TURNER Ben,Netcompany INEOS,189,
203,551,MARTÍN Gotzon,Euskaltel - Euskadi,188,
204,97,ROMO Javier,Movistar Team,187,
205,233,GARCÍA PIERNA Raúl,Movistar Team,186,
206,72,WRIGHT Fred,Pinarello Q36.5 Pro Cycling Team,185,Campbell
207,125,SOLER Marc,UAE Team Emirates - XRG,184,
208,163,HERMANS Quinten,Pinarello Q36.5 Pro Cycling Team,184,
209,386,ZINGLE Axel,Team Visma | Lease a Bike,184,
210,131,MENTEN Milan,Lotto Intermarché,184,
211,370,GAROFOLI Gianmarco,Soudal Quick-Step,183,
212,906,JOHANNINK Jelle,Unibet Rose Rockets,182,
213,151,WITHEN PHILIPSEN Albert,Lidl - Trek,182,
214,148,MOLANO Juan Sebastián,UAE Team Emirates - XRG,181,
215,210,REX Laurenz,Soudal Quick-Step,180,
216,50,CARAPAZ Richard,EF Education - EasyPost,180,Mike
217,309,PARRA José Félix,Caja Rural - Seguros RGA,178,
218,739,SLOCK Liam,Lotto Intermarché,178,
219,256,STORK Florian,Tudor Pro Cycling Team,177,
220,515,DONALDSON Robert,Team Jayco AlUla,177,
221,121,FISHER-BLACK Finn,Red Bull - BORA - hansgrohe,174,
222,227,BARCELÓ Fernando,Caja Rural - Seguros RGA,174,
223,158,DVERSNES LAVIK Fredrik,Uno-X Mobility,173,
224,519,SWEENY Harry,EF Education - EasyPost,172,
225,289,ACKERMANN Pascal,Team Jayco AlUla,172,
226,195,BIERMANS Jenthe,Cofidis,172,
227,389,VAN DIJKE Mick,Red Bull - BORA - hansgrohe,172,
228,308,VAN MOER Brent,Pinarello Q36.5 Pro Cycling Team,172,
229,183,MARIT Arne,Red Bull - BORA - hansgrohe,171,
230,297,SVESTAD-BÅRDSENG Embret,Netcompany INEOS,168,
231,244,GARCÍA CORTINA Iván,Movistar Team,167,
232,185,PLUIMERS Rick,Tudor Pro Cycling Team,167,
233,219,MOHORIČ Matej,Bahrain - Victorious,167,
234,587,AERTS Toon,Lotto Intermarché,164,
235,207,MIQUEL Pau,Bahrain - Victorious,163,
236,154,BLIKRA Erlend,Uno-X Mobility,163,
237,280,VERCHER Mattéo,TotalEnergies,163,
238,327,CASTELLON Jan,Caja Rural - Seguros RGA,162,
239,434,HATHERLY Alan,Team Jayco AlUla,162,
240,126,DUJARDIN Sandy,TotalEnergies,162,
241,205,MIHKELS Madis,EF Education - EasyPost,162,
242,111,SIMMONS Quinn,Lidl - Trek,160,
243,1112,HIRT Jan,NSN Cycling Team,160,
244,80,MALUCELLI Matteo,XDS Astana Team,159,
245,76,WATSON Samuel,Netcompany INEOS,158,
246,222,SOBRERO Matteo,Lidl - Trek,158,
247,505,CEPEDA Jefferson Alexander,EF Education - EasyPost,158,
248,15,MCNULTY Brandon,UAE Team Emirates - XRG,158,Andy
249,22,HEALY Ben,EF Education - EasyPost,158,Cameron
250,414,SCHIFFER Anton,Team Visma | Lease a Bike,157,
251,124,GROßSCHARTNER Felix,UAE Team Emirates - XRG,157,
252,855,MACÍAS César,Burgos Burpellet BH,157,
253,835,KAMP Alexander,Uno-X Mobility,157,
254,213,QUARTUCCI Lorenzo,Burgos Burpellet BH,156,
255,118,VAN POPPEL Danny,Red Bull - BORA - hansgrohe,155,
256,436,BRAET Vito,Lotto Intermarché,154,
257,261,BERRADE Urko,Equipo Kern Pharma,153,
258,1031,FABBRO Matteo,Solution Tech NIPPO Rali,153,
259,218,DÍAZ José Manuel,Burgos Burpellet BH,153,
260,525,BENNETT George,NSN Cycling Team,152,
261,371,KRAGH ANDERSEN Søren,Lidl - Trek,152,
262,316,BREUILLARD Nicolas,TotalEnergies,150,
263,607,HUERTAS Jason Andrey,,150,
264,676,EDDY Patrick,Team Brennan,149,
265,334,BUSATTO Francesco,Alpecin - Premier Tech,148,
266,833,ERŽEN Žak,Bahrain - Victorious,146,
267,0,MAGAGNOTTI Alessio,Red Bull - BORA - hansgrohe Rookies,146,
268,595,BELOKI Markel,EF Education - EasyPost,145,
269,699,MUDGWAY Luke,Li Ning Star,144,
270,173,VAN GILS Maxim,Red Bull - BORA - hansgrohe,144,
271,469,AUGUST Andrew,Netcompany INEOS,143,Gemini's Hipsters
272,531,DEBRUYNE Ramses,Alpecin - Premier Tech,143,
273,70,WELLENS Tim,UAE Team Emirates - XRG,143,
274,1138,MÜLLER Tobias,Unibet Rose Rockets,143,
275,191,POELS Wout,Unibet Rose Rockets,142,
276,324,OMRZEL Jakob,Bahrain - Victorious,142,
277,130,BETTIOL Alberto,XDS Astana Team,141,
278,279,VERMAERKE Kevin,UAE Team Emirates - XRG,140,
279,120,CORT Magnus,Uno-X Mobility,139,
280,612,HOBBS Noah,EF Education - EasyPost,139,
281,2067,VAN TRICHT Floris,NSN Cycling Team,138,
282,568,WENZEL Mats,Equipo Kern Pharma,138,
